City,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
Maynard,"10,654",24,0,3,2,19,39,7,29,3,0
Medford,"57,484",116,0,7,17,92,526,51,442,33,1
Medway,"13,405",6,0,0,0,6,27,6,21,0,0
Melrose,"28,120",32,0,0,3,29,172,25,131,16,0
Mendon,"6,176",3,0,0,0,3,16,2,9,5,0
Merrimac,"7,001",2,0,0,0,2,15,5,9,1,0
Methuen,"50,727",95,1,1,11,82,552,58,446,48,0
Middleboro,"25,183",128,0,17,9,102,188,14,151,23,5
Middleton,"10,113",5,0,0,0,5,41,3,35,3,0
Milford,"29,015",48,0,11,4,33,171,38,120,13,2
Millbury,"13,837",24,0,2,1,21,139,13,115,11,1
Millville,"3,249",5,0,3,0,2,14,1,13,0,0
Milton,"27,471",11,0,2,5,4,61,13,40,8,0
Monson,"8,851",27,0,4,0,23,43,12,24,7,0
Montague,"8,298",49,0,4,4,41,84,18,64,2,0
Nahant,"3,511",12,0,1,0,11,12,2,9,1,0
Nantucket,"11,393",27,0,2,0,25,154,17,133,4,1
Natick,"36,358",37,0,7,4,26,383,22,350,11,2
Needham,"31,275",10,0,2,0,8,135,22,112,1,1
New Bedford,"94,613",628,3,66,176,383,"2,127",465,"1,513",149,5
New Braintree,"1,024",3,0,0,0,3,4,2,1,1,0
Newburyport,"18,158",23,0,5,0,18,126,13,111,2,0
Newton,"88,658",49,0,4,10,35,510,75,424,11,1
Norfolk,"11,992",1,0,0,0,1,23,3,20,0,0
North Adams,"12,800",72,0,13,9,50,400,88,301,11,0
Northampton,"28,735",119,1,25,9,84,448,53,375,20,8
North Andover,"31,428",17,0,4,3,10,163,14,139,10,0
North Attleboro,"29,202",24,3,6,0,15,420,21,394,5,2
Northborough,"15,075",3,0,0,0,3,88,12,76,0,1
Northbridge,"16,732",31,0,2,0,29,140,21,113,6,1
Northfield,"2,988",0,0,0,0,0,10,1,9,0,0
North Reading,"15,687",16,0,3,1,12,60,10,44,6,0
Norton,"19,894",23,0,3,0,20,13,7,5,1,1
Norwell,"11,105",11,0,0,0,11,51,8,38,5,0
Norwood,"29,185",47,0,9,8,30,215,33,173,9,2
Oak Bluffs,"4,681",26,0,1,1,24,64,11,49,4,0
Oakham,"1,955",0,0,0,0,0,4,0,3,1,0
Orange,"7,643",22,0,3,2,17,93,17,72,4,1
Orleans,"5,742",5,0,1,0,4,50,6,44,0,0
Oxford,"13,973",29,0,11,0,18,162,12,144,6,0
Palmer,"12,258",50,0,2,3,45,115,34,71,10,3
Paxton,"4,944",8,0,2,0,6,12,1,9,2,0
Peabody,"53,104",123,0,21,8,94,435,55,350,30,2
Pelham,"1,322",0,0,0,0,0,3,2,1,0,0
Pembroke,"18,378",13,0,2,3,8,80,12,60,8,1
Pepperell,"12,146",15,0,5,1,9,58,5,50,3,0
Pittsfield,"42,268",300,2,36,31,231,796,263,490,43,6
Plainville,"9,281",6,1,0,0,5,48,7,40,1,0
Plymouth,"60,870",199,0,38,11,150,594,73,490,31,5
Plympton,"2,980",4,0,0,1,3,15,5,9,1,0
Princeton,"3,459",1,0,0,0,1,13,3,10,0,0
Provincetown,"2,939",16,0,2,1,13,51,8,41,2,0
Quincy,"94,113",375,1,31,61,282,"1,146",216,875,55,2
Randolph,"34,385",82,1,6,10,65,409,69,307,33,1
Raynham,"14,322",28,0,4,4,20,210,12,183,15,0
Reading,"25,305",3,0,0,0,3,116,15,94,7,0
Rehoboth,"12,252",8,0,0,1,7,46,16,26,4,0
Revere,"53,654",173,2,11,38,122,653,68,524,61,1
Rockland,"17,879",53,0,8,4,41,59,16,39,4,3
Rockport,"7,280",7,0,2,1,4,16,4,11,1,0
Rowley,"6,372",6,0,1,0,5,26,4,21,1,0
Rutland,"8,888",35,0,10,1,24,22,5,15,2,0
Salem,"43,443",108,0,14,21,73,727,87,594,46,6
Salisbury,"9,575",17,0,5,0,12,74,25,44,5,1
Sandwich,"20,016",40,0,5,1,34,97,16,79,2,2
Saugus,"28,378",72,0,9,10,53,360,28,305,27,1
Scituate,"18,774",14,0,2,0,12,62,7,50,5,1
Seekonk,"15,841",27,0,1,3,23,244,27,206,11,1
Sharon,"18,973",9,0,4,0,5,47,10,33,4,1
Shirley,"7,633",19,0,1,0,18,42,10,28,4,0
Shrewsbury,"37,983",4,0,1,2,1,126,15,92,19,0
Somerset,"18,036",43,0,3,4,36,130,8,114,8,0
Somerville,"81,668",166,0,16,38,112,"1,025",140,796,89,4
Southampton,"6,247",9,0,1,0,8,37,12,23,2,0
Southborough,"10,140",3,0,0,0,3,29,14,12,3,0
Southbridge,"16,826",79,0,21,3,55,238,50,172,16,0
South Hadley,"17,816",27,0,4,0,23,156,28,120,8,3
Southwick,"9,772",10,0,3,0,7,65,21,39,5,0
Spencer,"11,911",11,0,4,0,7,65,16,40,9,0
Springfield,"154,306","1,397",20,81,358,938,"4,005",746,"2,766",493,31
Sterling,"8,175",4,0,3,0,1,16,2,13,1,0
Stockbridge,"1,898",1,0,0,0,1,24,4,19,1,0
Stoneham,"22,732",33,0,9,5,19,175,44,115,16,0
Stoughton,"28,961",58,1,9,7,41,286,33,231,22,1
Stow,"7,234",4,0,0,0,4,12,4,8,0,1
Sturbridge,"9,611",17,0,3,0,14,113,12,94,7,3
Sudbury,"19,727",15,0,6,1,8,67,6,58,3,0
Sunderland,"3,656",4,0,2,0,2,21,5,13,3,0
Sutton,"9,551",12,0,2,0,10,53,18,33,2,0
Swampscott,"15,296",8,0,1,1,6,113,12,100,1,0
Swansea,"16,681",34,0,5,1,28,118,17,97,4,0
Taunton,"57,028",217,2,15,17,183,345,86,238,21,3
Templeton,"8,109",13,0,2,0,11,22,6,12,4,0
Tewksbury,"31,424",81,0,23,7,51,345,19,308,18,1
Tisbury,"4,116",30,0,3,0,27,31,6,23,2,1
Topsfield,"6,644",5,0,1,0,4,10,2,7,1,0
Townsend,"9,546",10,0,2,0,8,32,4,21,7,0
Truro,"1,984",5,0,1,0,4,5,0,5,0,0
Tyngsboro,"12,456",19,0,4,3,12,47,5,31,11,0
Uxbridge,"14,066",20,0,3,2,15,74,18,48,8,1
Wakefield,"27,178",37,0,3,3,31,164,25,127,12,0
Wales,"1,894",2,0,1,0,1,5,3,2,0,1
Walpole,"25,150",49,0,11,1,37,257,25,220,12,0
Waltham,"62,737",102,0,13,7,82,512,70,420,22,5
Ware,"9,804",49,0,1,6,42,83,9,64,10,0
Wareham,"22,592",161,1,23,9,128,322,51,251,20,0
Watertown,"36,189",29,0,10,2,17,319,36,269,14,0
Wayland,"13,891",0,0,0,0,0,1,1,0,0,0
Webster,"16,925",122,0,16,3,103,208,39,158,11,0
Wellesley,"29,651",7,0,0,0,7,120,15,104,1,0
Wellfleet,"2,705",0,0,0,0,0,25,6,19,0,0
Wenham,"5,295",0,0,0,0,0,8,1,6,1,0
Westborough,"19,155",24,0,8,0,16,200,33,163,4,1
West Boylston,"8,216",11,0,0,2,9,47,13,27,7,0
West Bridgewater,"7,248",9,0,1,0,8,71,16,48,7,1
Westfield,"41,507",83,3,15,7,58,398,52,324,22,1
Westford,"24,403",10,0,0,1,9,54,5,45,4,0
Westminster,"7,902",20,0,1,0,19,43,5,36,2,0
Weston,"12,138",9,0,2,0,7,28,3,24,1,0
Westport,"15,920",21,0,4,0,17,111,27,74,10,1
West Springfield,"28,628",138,0,18,15,105,969,101,814,54,2
West Tisbury,"2,911",7,0,1,0,6,17,2,11,4,0
Westwood,"16,199",10,0,1,3,6,166,14,148,4,0
Weymouth,"57,776",170,0,21,9,140,462,44,386,32,0
Whately,"1,589",1,0,0,0,1,17,2,10,5,0
Whitman,"15,134",33,0,3,3,27,104,21,76,7,2
Wilbraham,"14,730",21,0,1,0,20,220,58,155,7,0
Williamsburg,"2,489",2,0,1,0,1,18,4,14,0,0
Williamstown,"8,021",6,0,4,0,2,71,3,66,2,0
Wilmington,"23,915",32,0,5,1,26,154,15,124,15,0
Winchendon,"10,897",37,0,9,0,28,100,30,57,13,1
Winchester,"22,850",7,0,0,0,7,88,10,74,4,1
Winthrop,"18,692",37,0,2,6,29,129,11,102,16,0
Woburn,"40,251",70,0,2,10,58,414,46,323,45,1
Worcester,"184,945","1,165",13,40,229,883,"3,792",786,"2,637",369,6
Worthington,"1,191",0,0,0,0,0,0,0,0,0,0
Wrentham,"11,989",4,0,2,0,2,178,18,153,7,0
Yarmouth,"23,076",96,0,19,3,74,229,38,186,5,0
